flow,section,situation,page,title,disposition,evidence,verification
app,main,app-connect,app-connect,App · Connect,adapt-to-main,C01;C02,observed-in-app-journey-2026-09-26
app,main,sign-in,sign-in,Sign in to Pollinations,adapt-to-main,C01;C02,observed-in-app-journey-2026-09-26
app,main,consent,consent,Allow access,adapt-to-main,C01;C02,observed-in-app-journey-2026-09-26
app,main,consent-no-pollen,consent,Allow access · No Pollen,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
app,main,consent-paid-required,consent,Allow access · Paid required,adapt-to-main,C01;C02;D03,captured-main-279edfad8f-2026-09-26
app,main,app-checking,sign-in,Sign in to Pollinations · Checking app,adapt-to-main,C01;C02;C03,captured-current-main-2026-09-26
app,main,loading,loading,Check account,adapt-to-main,C01;C02;C03,captured-current-main-2026-09-26
app,main,blocked-lookup,connection-link-errors,Connection blocked errors · App verification failed,product-gap,C01;C02;G01,captured-current-main-2026-09-26
app,main,consent-checking,consent,Allow access · Checking app,adapt-to-main,C01;C02;C03,captured-current-main-2026-09-26
app,main,consent-models-loading,consent,Allow access · Loading models,product-gap,C01;C02;C03;G10,captured-current-main-2026-09-26
app,main,consent-models-error,consent,Allow access · Models unavailable,product-gap,C01;C02;G10,captured-current-main-2026-09-26
app,main,consent-connecting,consent,Allow access · Connecting,adapt-to-main,C01;C02;C03,captured-current-main-2026-09-26
app,main,account-deactivated,account-deactivated,Account suspended,adapt-to-main,C01;C02;D02,captured-current-main-2026-09-26
app,main,staging-invite-only,staging-invite-only,Staging is invite-only,adapt-to-main,C01;C02;D02,captured-current-main-2026-09-26
app,main,login-failed,login-failed,Couldn’t sign in,adapt-to-main,C01;C02;D02,captured-current-main-2026-09-26
app,main,blocked-redirect,connection-link-errors,Connection blocked errors · Unregistered redirect,adapt-to-main,C01;C02,captured-current-main-2026-09-26
app,main,blocked-app,connection-link-errors,Connection blocked errors · App unavailable,adapt-to-main,C01;C02,captured-current-main-2026-09-26
app,main,blocked-missing-redirect,connection-link-errors,Connection blocked errors · Missing redirect,adapt-to-main,C01;C02,captured-current-main-2026-09-26
app,main,blocked-invalid-redirect,connection-link-errors,Connection blocked errors · Invalid redirect,adapt-to-main,C01;C02,captured-current-main-2026-09-26
app,main,blocked-redirect-scheme,connection-link-errors,Connection blocked errors · Unsupported redirect scheme,adapt-to-main,C01;C02,captured-current-main-2026-09-26
app,main,blocked-response-type,connection-link-errors,Connection blocked errors · Unsupported response,adapt-to-main,C01;C02,captured-current-main-2026-09-26
app,main,blocked-missing-client,connection-link-errors,Connection blocked errors · Missing client,adapt-to-main,C01;C02,captured-current-main-2026-09-26
app,main,blocked-missing-challenge,connection-link-errors,Connection blocked errors · Missing security challenge,adapt-to-main,C01;C02,captured-current-main-2026-09-26
app,main,blocked-challenge-method,connection-link-errors,Connection blocked errors · Unsupported challenge method,adapt-to-main,C01;C02,captured-current-main-2026-09-26
app,main,blocked-invalid-challenge,connection-link-errors,Connection blocked errors · Invalid security challenge,adapt-to-main,C01;C02,captured-current-main-2026-09-26
app,main,app-signing-in,sign-in,Sign in to Pollinations · Signing in,adapt-to-main,C01;C02;C03,captured-current-main-2026-09-26
app,main,error,sign-in-errors,Sign in to Pollinations errors · Sign-in failed,adapt-to-main,C01;C02,captured-current-main-2026-09-26
app,main,app-connected,app-connected,App · Connection status · Connected,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
app,main,app-checking-connection,app-connected,App · Connection status · Checking connection,adapt-to-main,C01;C02;C03,captured-main-279edfad8f-2026-09-26
app,main,app-connection-error,app-connected,App · Connection status · Connection not completed,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
app,main,app-loading-account,app-connected,App · Connection status · Loading account,adapt-to-main,C01;C02;C03;D03,captured-main-279edfad8f-2026-09-26
app,main,app-account-error,app-connected,App · Connection status · Account details unavailable,adapt-to-main,C01;C02;D03,captured-main-279edfad8f-2026-09-26
app,main,app-limit-reached,app-connected,App · Connection status · Limit reached,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
app,main,app-access-declined,app-connected,App · Connection status · Access declined,adapt-to-main,C01;C02,captured-current-main-2026-09-26
app,main,consent-failed-key,consent-errors,Allow access errors · Key creation failed,product-gap,C01;C02;G02,captured-current-main-2026-09-26
app,main,consent-failed-code,consent-errors,Allow access errors · Authorization code creation failed,product-gap,C01;C02;G02;G06,captured-main-279edfad8f-2026-09-26
app,main,consent-session-expired,consent-errors,Allow access errors · Session expired before approval,product-gap,C01;C02;G02,captured-current-main-2026-09-26
app,main,github-handoff,github-handoff,Continue on GitHub · external reference,external-reference,C01;C02;C05,reference-verified-main-279edfad8f-2026-09-26
app,topup,topup-account-app--account_action=1&app_menu=open,account-app,App allowance,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
app,topup,topup-account-app--account_action=1&app_menu=open&sim_budget=0,account-app,App allowance · Limit reached,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
app,topup,topup-account-key,account-key,App access,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
app,topup,topup-account-key--screen=account-key-signed-out,account-key,App access · Sign in,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
app,topup,topup-account-key--account_case=sign-in-error&action=sign-in&screen=account-key-signed-out,account-key,App access · Starting sign-in failed,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
app,topup,topup-account-key--account_case=loading,account-key,App access · Loading,adapt-to-main,C01;C02;C03,captured-main-279edfad8f-2026-09-26
app,topup,topup-account-key--account_case=load-error,account-key,App access · Load failed,product-gap,C01;C02;G07,captured-main-279edfad8f-2026-09-26
app,topup,topup-account-key--account_case=missing,account-key,App access · Key unavailable,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
app,topup,topup-account-key--account_case=saving&action=save,account-key,App access · Saving,adapt-to-main,C01;C02;C03,captured-main-279edfad8f-2026-09-26
app,topup,topup-account-key--account_case=save-error&action=save,account-key,App access · Save failed,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
app,topup,topup-account-key--action=save,account-key,App access · Saved,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
app,topup,topup-account-key--action=close-key,account-key,App access · Closed without changes,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
app,topup,topup-account-wallet,account-wallet,Top-up,adapt-to-main,C01;C02;C04,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--sim_paid=0,account-wallet,Top-up · Quest only,adapt-to-main,C01;C02;C04,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--sim_paid=0&sim_quest=0,account-wallet,Top-up · Empty,adapt-to-main,C01;C02;C04,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--screen=account-wallet-signed-out,account-wallet,Top-up · Sign in,adapt-to-main,C01;C02;C04,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--account_case=sign-in-error&action=sign-in&screen=account-wallet-signed-out,account-wallet,Top-up · Starting sign-in failed,adapt-to-main,C01;C02;C04,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--account_case=loading,account-wallet,Top-up · Balance loading,adapt-to-main,C01;C02;C03;C04,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--account_case=load-error,account-wallet,Top-up · Balance unavailable,product-gap,C01;C02;C04;G09,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--account_case=canceled,account-wallet,Top-up · Checkout canceled,adapt-to-main,C01;C02;C04,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--account_case=pending,account-wallet,Wallet · Payment pending,unshipped-feature,C01;C02;D01,deferred-not-on-main
app,topup,topup-account-wallet--account_case=payment-error,account-wallet,Wallet · Payment check failed,unshipped-feature,C01;C02;D01,deferred-not-on-main
app,topup,topup-account-wallet--account_case=credited,account-wallet,Wallet · Payment credited,unshipped-feature,C01;C02;D01,deferred-not-on-main
app,topup,topup-account-wallet--action=billing-setup&billing_case=setup,account-wallet,Top-up · Auto top-up setup,adapt-to-main,C01;C02;C04,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--action=billing-setup&billing_case=ready,account-wallet,Top-up · Auto top-up ready,adapt-to-main,C01;C02;C04,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--billing_case=enabled,account-wallet,Top-up · Auto top-up enabled,adapt-to-main,C01;C02;C04,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--action=billing-save&billing_case=ready&result=waiting,account-wallet,Top-up · Saving auto top-up,product-gap,C01;C02;C03;C04;G13,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--action=billing-save&billing_case=ready&result=error,account-wallet,Top-up · Auto top-up save failed,product-gap,C01;C02;C04;G09,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--billing_case=failed,account-wallet,Top-up · Last charge failed,adapt-to-main,C01;C02;C04,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--billing_case=payment,account-wallet,Top-up · Payment action required,adapt-to-main,C01;C02;C04,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--action=billing-portal&billing_case=enabled&result=waiting,account-wallet,Top-up · Opening billing,adapt-to-main,C01;C02;C03;C04,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--action=billing-portal&billing_case=enabled&result=error,account-wallet,Top-up · Billing handoff failed,product-gap,C01;C02;C04;G09,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--action=billing-save&billing_case=ready&result=session-expired,account-wallet,Top-up · Billing session expired,product-gap,C01;C02;C04;G09,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-wallet--account_case=session-expired,account-wallet,Top-up · Balance session expired,product-gap,C01;C02;C04;G09,captured-main-1b7e621066-2026-09-26
app,topup,topup-account-github,account-github,Continue on GitHub · external reference,external-reference,C01;C02;C05,reference-verified-main-279edfad8f-2026-09-26
app,topup,topup-account-auth-error--account_action=1&login_error=BANNED_USER&screen=account-deactivated,account-auth-error,Account suspended,adapt-to-main,C01;C02;D02,captured-main-279edfad8f-2026-09-26
app,topup,topup-account-auth-error--account_action=1&login_error=staging_is_invite-only&screen=staging-invite-only,account-auth-error,Staging is invite-only,adapt-to-main,C01;C02;D02,captured-main-279edfad8f-2026-09-26
app,topup,topup-account-auth-error--account_action=1&login_error=unknown,account-auth-error,Couldn’t sign in,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
app,topup,topup-account-payment,account-payment,Checkout · external reference,external-reference,C01;C02;C05,reference-verified-main-279edfad8f-2026-09-26
app,topup,topup-account-billing,account-billing,Manage billing · external reference,external-reference,C01;C02;C05,reference-verified-main-279edfad8f-2026-09-26
device,main,sign-in,sign-in,Sign in to Pollinations,adapt-to-main,C01;C02,captured-current-main-2026-09-26
device,main,device-signing-in,sign-in,Signing in,adapt-to-main,C01;C02;C03,captured-current-main-2026-09-26
device,main,error,sign-in-errors,Starting sign-in,adapt-to-main,C01;C02,captured-current-main-2026-09-26
device,main,account-deactivated,sign-in-errors,Account suspended,adapt-to-main,C01;C02;D02,captured-current-main-2026-09-26
device,main,staging-invite-only,sign-in-errors,Staging is invite-only,adapt-to-main,C01;C02;D02,captured-current-main-2026-09-26
device,main,login-failed,sign-in-errors,Couldn’t sign in,adapt-to-main,C01;C02;D02,captured-current-main-2026-09-26
device,main,device-code,device-code,Enter device code,adapt-to-main,C01;C02,captured-current-main-2026-09-26
device,main,device-code-invalid,device-code,Invalid code,adapt-to-main,C01;C02,captured-current-main-2026-09-26
device,main,device-request-invalid,device-errors,Invalid code,product-gap,C01;C02;G03;G04,captured-current-main-2026-09-26
device,main,device-code-expired,device-code,Expired code,adapt-to-main,C01;C02,captured-current-main-2026-09-26
device,main,device-request-expired,device-errors,Expired code,product-gap,C01;C02;G03;G04,captured-current-main-2026-09-26
device,main,device-code-used,device-code,Used code,adapt-to-main,C01;C02,captured-current-main-2026-09-26
device,main,device-request-used,consent,Used code,product-gap,C01;C02;G03,captured-current-main-2026-09-26
device,main,consent,consent,Allow access,adapt-to-main,C01;C02,captured-current-main-2026-09-26
device,main,consent-no-pollen,consent,Allow access · No Pollen,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
device,main,consent-paid-required,consent,Allow access · Paid required,adapt-to-main,C01;C02;D03,captured-main-279edfad8f-2026-09-26
device,main,device-request-app,device-errors,App unavailable,adapt-to-main,C01;C02,captured-current-main-2026-09-26
device,main,device-result,device-result,Access approved,adapt-to-main,C01;C02,source-audit-only
device,main,device-submit-approve,device-errors,Approval failed,product-gap,C01;C02;G02;G06,source-audit-only
device,main,device-session,sign-in,Checking account,adapt-to-main,C01;C02;C03,captured-current-main-2026-09-26
device,main,device-verifying,device-code,Verifying code,adapt-to-main,C01;C02;C03,captured-current-main-2026-09-26
device,main,device-code-unavailable,device-code,Verification unavailable,product-gap,C01;C02;G04,captured-current-main-2026-09-26
device,main,device-checking,consent,Checking request,product-gap,C01;C02;C03;G03,captured-current-main-2026-09-26
device,main,device-request-unavailable,device-errors,Verification unavailable,product-gap,C01;C02;G03;G04,captured-current-main-2026-09-26
device,main,device-request-lookup,device-errors,App lookup unavailable,product-gap,C01;C02;G01,captured-current-main-2026-09-26
device,main,device-approving,consent,Connecting,adapt-to-main,C01;C02;C03,captured-current-main-2026-09-26
