name,ttl,type,value
"pollinations.ai","3600","NETLIFY","pollinations.netlify.app"
"www.pollinations.ai","3600","NETLIFY","pollinations.netlify.app"
"pollinations.ai","3600","NETLIFYv6","pollinations.netlify.app"
"www.pollinations.ai","3600","NETLIFYv6","pollinations.netlify.app"
"pollinations.ai","30","TXT","v=spf1 include:spf.improvmx.com ~all"
"pollinations.ai","86400","TXT","google-site-verification=fVDptxNL4zBBVB_v8kgW6dSt2MA09PvJyS4ufs4nrhw"
"pollinations.ai","3600","MX","ASPMX.L.GOOGLE.COM"
"pollinations.ai","3600","MX","ALT1.ASPMX.L.GOOGLE.COM"
"pollinations.ai","3600","MX","ALT2.ASPMX.L.GOOGLE.COM"
"pollinations.ai","3600","MX","ALT3.ASPMX.L.GOOGLE.COM"
"pollinations.ai","3600","MX","ALT4.ASPMX.L.GOOGLE.COM"
"legal-worker.pollinations.ai","30","CNAME","Legal-legal-V4SI8HEAYHH4-426484057.us-east-1.elb.amazonaws.com"
"legaltranslate.pollinations.ai","3600","NETLIFY","dapper-pegasus-db8a79.netlify.app"
"_f98ae0e34a042d284be3f2fc860cf61f.rest.pollinations.ai","30","CNAME","_1b3fd4f1ba49cdbf5f474b1fa26aae05.crxktfrmng.acm-validations.aws"
"_23e1c1186d269772f2fe6a2d247b9c2e.restv2.pollinations.ai.pollinations.ai","3600","CNAME","_52b95f2643ad00310629fa0a21c83e85.wrpxpmnjfs.acm-validations.aws."
"restv2.pollinations.ai","3600","CNAME","rest-polle-7H3II6HN9KI-1706422637.us-east-1.elb.amazonaws.com"
"_23e1c1186d269772f2fe6a2d247b9c2e.restv2.pollinations.ai.pollinations.ai","3600","CNAME","_52b95f2643ad00310629fa0a21c83e85.wrpxpmnjfs.acm-validations.aws."
"worker-prod.pollinations.ai","3600","CNAME","rest-polle-7H3II6HN9KI-1706422637.us-east-1.elb.amazonaws.com"
"dreamachine.pollinations.ai","3600","NETLIFY","jazzy-sopapillas-f1434b.netlify.app"
"dreamachine.pollinations.ai","3600","NETLIFYv6","jazzy-sopapillas-f1434b.netlify.app"
"worker-dev.pollinations.ai","3600","CNAME","polle-polle-PSCKWLG604W6-1467296237.us-east-1.elb.amazonaws.com"
"dashboard.pollinations.ai","3600","NETLIFY","glittery-bombolone-af5d34.netlify.app"
"dashboard.pollinations.ai","3600","NETLIFYv6","glittery-bombolone-af5d34.netlify.app"
"store.pollinations.ai","30","CNAME","d1hn1oewt8gz6r.cloudfront.net"
"rest.pollinations.ai","30","CNAME","rest-polle-1umfyh2pt9z21-620802432.us-east-1.elb.amazonaws.com"
"pollinations.ai","3600","TXT","openai-domain-verification=dv-Y9BjQID3gDsfk92Hu3noMMBX"
"studio1111.pollinations.ai","3600","NETLIFY","studio1111.netlify.app"
"studio1111.pollinations.ai","3600","NETLIFYv6","studio1111.netlify.app"
"_16fa6f1d9362ea783fc0e8d3fca66cf4.image.pollinations.ai","30","CNAME","_b4c1796d03a7bd338b92803b4070d3c8.djqtsrsxkq.acm-validations.aws."
"_c30cb359ea56622596c17b4db4412642.text.pollinations.ai","5","CNAME","_948b342800b29f29f89d32b498fb993a.djqtsrsxkq.acm-validations.aws"
"_c30cb359ea56622596c17b4db4412642.text.pollinations.ai","30","CNAME","_948b342800b29f29f89d32b498fb993a.djqtsrsxkq.acm-validations.aws."
"react-docs.pollinations.ai","30","CNAME","cname.vercel-dns.com."
"haustierhoroskop.pollinations.ai","3600","NETLIFY","haustierhoroskop.netlify.app"
"haustierhoroskop.pollinations.ai","3600","NETLIFYv6","haustierhoroskop.netlify.app"
"_vercel.pollinations.ai","30","TXT","vc-domain-verify=sur.pollinations.ai,2b63e0a4ba60604ac6d8"
"sur.pollinations.ai","30","CNAME","cname.vercel-dns.com."
"react-hooks.pollinations.ai","3600","NETLIFYv6","pollinations-react-hooks-docs.netlify.app"
